"club","name","v1","v2","v3","v4","y1","y2","y3","y4"
"SMER - SD","Andreánsky","[P]","[P]","[P]","[P]",0,0,0,0
"SMER - SD","Blanár","[Z]","[Z]","[Z]","[Z]",1,1,1,1
"SMER - SD","Čaplovič","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Fico","[0]","[0]","[0]","[0]",NA,NA,NA,NA
"SMER - SD","Glváč","[Z]","[?]","[Z]","[Z]",1,0,1,1
"SMER - SD","Chudík","[?]","[?]","[Z]","[?]",0,0,1,0
"SMER - SD","Kéry","[Z]","[Z]","[Z]","[Z]",1,1,1,1
"SMER - SD","Kvorka","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Mitterpák","[P]","[P]","[?]","[P]",0,0,0,0
"SMER - SD","Nemky","[P]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Puci","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Valocký","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Baláž","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Bublavý","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Ďurovčík","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Gabániová","[P]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Goga","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Janíková","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Kondrót","[0]","[0]","[0]","[0]",NA,NA,NA,NA
"SMER - SD","Madej","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Mojš","[P]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Panáček","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Senko","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Vaľová","[?]","[0]","[0]","[0]",0,NA,NA,NA
"SMER - SD","Baška","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Buček","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Faič","[?]","[0]","[Z]","[Z]",0,NA,1,1
"SMER - SD","Galis","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Hambálek","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Jarjabek","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Krajkovič","[0]","[0]","[0]","[0]",NA,NA,NA,NA
"SMER - SD","Martinák","[P]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Muňko","[0]","[0]","[0]","[0]",NA,NA,NA,NA
"SMER - SD","Petrák","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Šuca","[?]","[?]","[?]","[?]",0,0,0,0
"SMER - SD","Vážny","[?]","[?]","[?]","[?]",0,0,0,0
