name,alpha.3,x,y
Burundi,BDI,13,16
Comoros,COM,16,18
Djibouti,DJI,15,13
Eritrea,ERI,14,13
Ethiopia,ETH,15,14
Kenya,KEN,15,15
Madagascar,MDG,17,19
Malawi,MWI,13,17
Mauritius,MUS,17,20
Mozambique,MOZ,14,17
Rwanda,RWA,14,16
Seychelles,SYC,16,17
Somaliland,SML,16,13
Somalia,SOM,16,14
South Sudan,SSD,13,13
Zanzibar,ZZB,16,16
Tanzania,TZA,15,16
Uganda,UGA,14,15
Zambia,ZMB,12,18
Zimbabwe,ZWE,14,18
Angola,AGO,11,17
Cameroon,CMR,12,15
Central African Republic,CAF,14,14
Chad,TCD,12,13
Congo,COG,12,16
Congo (Democratic Republic of the),COD,13,15
Equatorial Guinea,GNQ,11,16
Gabon,GAB,12,17
Sao Tome and Principe,STP,9,16
Algeria,DZA,11,11
Egypt,EGY,14,11
Libya,LBY,13,11
Morocco,MAR,10,11
Sudan,SDN,14,12
Tunisia,TUN,12,11
Botswana,BWA,13,18
Lesotho,LSO,15,19
Namibia,NAM,13,19
South Africa,ZAF,14,20
Swaziland,SWZ,14,19
Benin,BEN,13,14
Burkina Faso,BFA,11,13
Cabo Verde,CPV,8,15
Ivory Coast,CIV,10,15
Gambia,GMB,10,12
Ghana,GHA,11,14
Guinea,GIN,9,14
Guinea-Bissau,GNB,9,13
Liberia,LBR,10,14
Mali,MLI,12,12
Mauritania,MRT,9,12
Niger,NER,13,12
Nigeria,NGA,11,15
Senegal,SEN,11,12
Sierra Leone,SLE,10,13
Togo,TGO,12,14
Barbados,BRB,5,9
Cuba,CUB,4,6
Dominican Republic,DOM,5,8
Haiti,HTI,4,8
Jamaica,JAM,4,7
Trinidad & Tobago,TTO,5,10
Costa Rica,CRI,2,9
El Salvador,SLV,1,7
Guatemala,GTM,1,6
Honduras,HND,2,7
Mexico,MEX,1,5
Nicaragua,NIC,2,8
Panama,PAN,2,10
Canada,CAN,1,3
United States of America,USA,1,4
Argentina,ARG,5,15
Bolivia,BOL,4,13
Brazil,BRA,5,13
Chile,CHL,4,15
Colombia,COL,3,11
Ecuador,ECU,3,12
Guyana,GUY,4,12
Paraguay,PRY,4,14
Peru,PER,3,13
Suriname,SUR,5,12
Uruguay,URY,5,14
Venezuela,VEN,4,11
Kazakhstan,KAZ,21,5
Kyrgyzstan,KGZ,21,6
Tajikistan,TJK,21,7
Turkmenistan,TKM,20,7
Uzbekistan,UZB,20,6
China,CHN,22,6
Hong Kong,HKG,23,7
Japan,JPN,25,5
North Korea,PRK,23,5
South Korea,KOR,23,6
Mongolia,MNG,22,5
Cambodia,KHM,23,10
Indonesia,IDN,23,13
Lao People's Democratic Republic,LAO,23,9
Malaysia,MYS,22,11
Myanmar,MMR,22,8
Taiwan,TWN,25,8
Philippines,PHL,25,10
Singapore,SGP,22,13
Thailand,THA,22,10
Timor-Leste,TLS,23,14
Republic of Vietnam,VDR,24,10
Viet Nam,VNM,24,9
Afghanistan,AFG,20,8
Bangladesh,BGD,21,8
Bhutan,BTN,22,7
India,IND,20,9
Iran (Islamic Republic of),IRN,18,8
Maldives,MDV,19,12
Nepal,NPL,21,9
Pakistan,PAK,19,8
Sri Lanka,LKA,20,11
Armenia,ARM,17,7
Azerbaijan,AZE,18,7
Cyprus,CYP,15,9
Georgia,GEO,18,6
Iraq,IRQ,17,8
Israel,ISR,16,10
Jordan,JOR,17,10
Saudi Arabia,SAU,17,11
Kuwait,KWT,18,9
Oman,OMN,18,12
Quatar,QAT,18,10
United Arab Emirates,ARE,18,11
Bahrain,BHR,19,10
Lebanon,LBN,16,9
Syria,SYR,17,9
Turkey,TUR,16,8
South Yemen,YMD,16,12
Yemen,YEM,17,12
Belarus,BLR,16,4
Bulgaria,BGR,15,7
DDR,DDR,13,4
Czech Republic,CZE,13,5
Hungary,HUN,14,6
Moldova (Republic of),MDA,16,6
Poland,POL,14,4
Romania,ROU,15,6
Russian Federation,RUS,17,4
Slovakia,SVK,14,5
Ukraine,UKR,15,5
Denmark,DNK,12,3
Estonia,EST,15,2
Finland,FIN,15,1
Iceland,ISL,8,1
Ireland,IRL,8,3
Latvia,LVA,15,3
Lithuania,LTU,15,4
Norway,NOR,14,1
Sweden,SWE,13,2
Great Britain and Northern Ireland,GBR,9,3
Albania,ALB,13,9
Bosnia & Herzegovina,BIH,13,8
Croatia,HRV,13,7
Greece,GRC,14,9
Italy,ITA,11,7
Kosovo,XKX,14,8
Macedonia,MKD,15,8
Malta,MLT,11,9
Montenegro,MNE,12,8
Portugal,PRT,9,7
Serbia,SRB,14,7
Slovenia,SVN,12,7
Spain,ESP,10,7	
Austria,AUT,13,6
Belgium,BEL,10,5
Luxembourg,LUX,11,5
France,FRA,10,6
Germany,DEU,12,5
Netherlands,NLD,11,4
Switzerland,CHE,12,6
Australia,AUS,22,19
New Zealand,NZL,24,20
Fiji,FJI,25,19
Papua New Guinea,PNG,23,17
Solomon Islands,SLB,24,18
Vanuatu,VUT,24,19
Palestine/British,PSB,15,10
Palestine/WestBank,PSE,16,11
Palestine/Gaza,PSG,15,11
